,isbn_10,title,full_title,publishers,identifiers,subtitle,description,covers,physical_format,last_modified,latest_revision,key,authors,ocaid,publish_places,contributions,languages,pagination,classifications,source_records,notes,number_of_pages,isbn_13,created,edition_name,publish_date,copyright_date,oclc_numbers,works,type,revision,ia_box_id,publish_country,by_statement,series,first_sentence,dewey_decimal_class,lc_classifications,local_id,other_titles,subject_people,subject_places,subject_times,subjects,genres,lccn,table_of_contents,contributors,weight,physical_dimensions,subject_place,uri_descriptions,url,uris,ia_loaded_id,translated_from,work_titles,translation_of,subject_time,oclc_number,work_title,coverimage,location,links,openlibrary,language
363,['0805063897'],Nickel and Dimed,,['Holt Paperbacks'],"{'librarything': ['15967'], 'goodreads': ['1869']}",On (Not) Getting By in America,,"[6630268, 580540]",Paperback,"{'type': '/type/datetime', 'value': '2021-03-03T02:13:30.262365'}",19,/books/OL7932586M,[{'key': '/authors/OL355295A'}],nickeldimedonnotehrerich,,,[{'key': '/languages/eng'}],,,"['amazon:0805063897:de:1896266164:299697', 'ia:nickeldimedonnotehrerich', 'ia:nickeldimedonnot00ehre', 'ia:nickeldimedonno00ehre', 'ia:nickeldimedonnot00ehre_0', 'ia:nickeldimedon00ehre', 'marc:OpenLibraries-Trent-MARCs/multi2.mrc:8942333:1006', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run03.mrc:1125516:2507', 'ia:nickeldimedonnot0000ehre_d8z2', 'marc:marc_claremont_school_theology/CSTMARC2_barcode.mrc:24917892:3898', 'marc:marc_claremont_school_theology/CSTMARC2_multibarcode.mrc:24928227:3898']",,240.0,['9780805063899'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,"May 1, 2002",,,[{'key': '/works/OL2520832W'}],{'key': '/type/edition'},19,['IA150501'],,,,"{'type': '/type/text', 'value': 'Mostly out of laziness, I decide to start my low-wage life in the town nearest to where I actually live, Key West, Florida, which with a population of about 25,000 is elbowing its way up to the status of a genuine city.'}",,['HD4918 .E375 2002'],"['urn:trent:0116404853610', 'urn:trent:0116404985925', 'urn:trent:0116405595228', 'urn:trent:0116411037785', 'urn:sfpl:31223085050418', 'urn:sfpl:31223087644432', 'urn:sfpl:31223099525439', 'urn:sfpl:31223063751656', 'urn:cst:10017003049']",,,,,"['Labour economics', 'Sociology, Social Studies', 'Unskilled labor', 'Poverty', 'Labor Economics (General)', 'Social Science', 'Politics / Current Events', 'United States', 'Sociology', 'Sociology - Social Theory', 'Government - U.S. Government', 'Labor & Industrial Relations - General', 'Social Science / Poverty', 'Labor', 'Minimum wage']",,,,,7.2 ounces,8.2 x 5.4 x 0.7 inches,,,,,['nickeldimedonnot00ehre_0'],,,,,,,,,,,
364,['0842329242'],Nicolae,,['Tyndale House Publishers'],"{'librarything': ['928'], 'goodreads': ['228260']}",The Rise of Antichrist (Left Behind No. 3),,[638789],Paperback,"{'type': '/type/datetime', 'value': '2012-05-19T20:03:44.945690'}",7,/books/OL8238430M,"[{'key': '/authors/OL22047A'}, {'key': '/authors/OL32403A'}]",,,,[{'key': '/languages/eng'}],,,['ia:nicolaeriseofant00laha_0'],,432.0,['9780842329248'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,"June 1, 1998",,,[{'key': '/works/OL16332448W'}],{'key': '/type/edition'},7,['IA175301'],,,['Left Behind (3)'],,,,,,,,,"['Modern fiction', 'Science fiction', 'Fiction - Religious', 'Fiction', 'Christian - Futuristic', 'Religious - General', 'Fantasy fiction']",,,,,12.8 ounces,8.2 x 5.5 x 1.1 inches,,,,,['nicolaeriseofant00laha_0'],,,,,,,,,,,
365,['0553272535'],Night,Night,['Bantam Books'],"{'amazon': ['0553272535'], 'goodreads': ['231614']}",,"{'type': '/type/text', 'value': '""Night--A terrifying account of the Nazi death camp horror that turns a young Jewish boy into an agonized witness to the death of his family...the death of his innocence...and the death of his God. Penetrating and powerful, as personal as The diary of Anne Frank, Night awakens the shocking memory of evil at its absolute and carries with it the unforgettable message that this horror must never be allowed to happen again""--back cover'}",[9153902],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2019-11-26T17:09:20.531543'}",12,/books/OL24930600M,[{'key': '/authors/OL20891A'}],night1960wies,"['New York, USA']",,[{'key': '/languages/eng'}],"xi, 109 p. ;",{},"['ia:night1960wies', 'ia:night00wies_2']","{'type': '/type/text', 'value': 'Reprint. Previous ed.: New York : Hill and Wang, 1960.\r\n\r\nOriginally published in Yiddish in a more expanded version, under title: Un di velt hot geshvign.\r\nUS/CAN'}",109.0,['9780553272536'],"{'type': '/type/datetime', 'value': '2011-08-05T15:52:17.309591'}",Bantam Edition [19],1989 10,1982,"['679895730', '1020077509']",[{'key': '/works/OL14856842W'}],{'key': '/type/edition'},12,['IA137402'],onc,Elie Wiesel ; translated from the French by Stella Rodway ; foreword by François Mauriac,,,['940.548/2'],['D810.J4 W513 1982'],,,,,,"['Jewish Personal narratives', 'World War, 1939-1945']",,,,"[{'role': 'Translator', 'name': 'Stella Rodway'}, {'role': 'Foreword', 'name': 'François Mauriac'}, {'role': 'Preface', 'name': 'Robert McAfee Brown'}]",,,,,,,,[{'key': '/languages/yid'}],['Nuit'],Un di Velt Hot Geshvign,,,,,,,,
366,['0425146413'],Night Prey,,['Berkley'],"{'goodreads': ['988944'], 'librarything': ['32197']}",,,[270664],,"{'type': '/type/datetime', 'value': '2017-06-24T02:01:03.974844'}",9,/books/OL7503686M,[{'key': '/authors/OL22138A'}],nightprey00john,,,[{'key': '/languages/eng'}],,,"['amazon:0425146413:bi:4340503697:264850', 'ia:nightprey00john']",,416.0,['9780425146415'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"July 6, 2004",,,[{'key': '/works/OL261515W'}],{'key': '/type/edition'},9,,,,['Prey (6)'],"{'type': '/type/text', 'value': 'The night was warm, the twilight inviting: middle-aged couples in pastel shirts, holding hands, strolled the old cracked sidewalks along the Mississippi.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,['055356451X'],Night sins,,['Bantam Books'],"{'librarything': ['115919'], 'goodreads': ['908839']}",,,"[7333037, 6544553]",,"{'type': '/type/datetime', 'value': '2015-03-02T20:32:16.116893'}",9,/books/OL23269260M,[{'key': '/authors/OL21979A'}],nightsins00hoag,['New York'],,[{'key': '/languages/eng'}],540 p.,{},"['marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:55904662:761', 'ia:nightsins00hoag']",paperback,540.0,,"{'type': '/type/datetime', 'value': '2009-05-29T19:44:45.047598'}",,1996,1995,,[{'key': '/works/OL134453W'}],{'key': '/type/edition'},9,['IA106005'],nyu,Tami Hoag.,"['Deer Lake, 1']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,['0671000853'],Night whispers,,['Pocket Books'],"{'librarything': ['835984'], 'goodreads': ['2167525']}",,,[7159096],,"{'type': '/type/datetime', 'value': '2012-07-26T08:52:07.465555'}",7,/books/OL23242700M,[{'key': '/authors/OL22168A'}],nightwhispers00mcna_1,['New York'],,[{'key': '/languages/eng'}],383 p. ;,,"['marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:20955651:2277', 'ia:nightwhispers00mcna_1']",,383.0,,"{'type': '/type/datetime', 'value': '2009-05-29T10:25:51.376718'}",,1998,,,[{'key': '/works/OL152323W'}],{'key': '/type/edition'},7,['IA179601'],nyu,Judith McNaught.,,,,,,,,,,"['United States. -- Federal Bureau of Investigation -- Fiction', 'Policewomen -- Florida -- Fiction', 'Undercover operations -- Florida -- Fiction', 'Money laundering -- Florida -- Fiction', 'Man-woman relationships -- Florida -- Fiction', 'Domestic fiction, American', 'Detective and mystery stories, American', 'Suspense fiction', 'Florida -- Fiction']",['Fiction'],,,,,,,,,,['nightwhispers00mcna_1'],,,,,,,,,,,
369,['0451180232'],Nightmares & Dreamscapes,,['Signet'],"{'amazon': ['0451180232'], 'goodreads': ['44445811']}",,"{'type': '/type/text', 'value': ""Here are twenty superlative stories devilishly designed by Stephen King to take you where you never dreamed of going before. Included, too, are a telescript that made home screen history, a startling poem, and an essay that Stephen King regards as his best nonfiction writing.\r\n\r\nThese versatile selections vary widely in style and subject matter and vividly display the full range of Stephen King's matchless imagination. And to add to his readers' pleasure and curiosity, King includes his own entrancing inside accounts of how the stories came into being and why.\r\n\r\nStephen King calls this extraordinary retrospective Nightmares & Dreamscapes. But don't let his title fool you. When you read it, sleep will be the furthest thing from your mind.\r\n(back cover)""}",[11018448],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2021-05-09T11:07:47.897661'}",3,/books/OL32367986M,,nightmaresdreams0000king,['New York'],,[{'key': '/languages/eng'}],692,{},,"{'type': '/type/text', 'value': 'US/CAN'}",692.0,['9780451180230'],"{'type': '/type/datetime', 'value': '2021-05-09T11:04:16.929129'}",1st Signet printing (1),1994-09,1993,['30889608'],[{'key': '/works/OL81604W'}],{'key': '/type/edition'},3,,,,,,['813/.54'],['PS3561.I483 N5 1994'],,,,,,,,,"[{'level': 0, 'title': ""Dolan's cadillac"", 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'The end of the whole mess', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Suffer the little children', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'The night flier', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Popsy', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'It grows on you', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Chattery teeth', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Dedication', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'The moving finger', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Sneakers', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'You know they got a hell of a band', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Home delivery', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Rainy season', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'My pretty pony', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Sorry, right number', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': ""The ten o'clock people"", 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Crouch end', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'The house on Maple Street', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'The fifth quarter', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': ""The doctor's case"", 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': ""Umney's last case"", 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Head down', 'type': {'key': '/type/toc_item'}}, {'level': 0, 'title': 'Brooklyn August.', 'type': {'key': '/type/toc_item'}}]",,,,,,,,,,,,,,,,,,,
370,"['0446612707', '0446531332']",Nights in Rodanthe,,['Warner Books'],"{'librarything': ['4441'], 'goodreads': ['4499891', '232360']}",,,[7008661],,"{'type': '/type/datetime', 'value': '2019-01-11T03:33:56.221643'}",8,/books/OL23246724M,[{'key': '/authors/OL19597A'}],nightsinrodanth000spar,['New York'],,[{'key': '/languages/eng'}],212 p.,,"['marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:29814931:2927', 'marc:marc_ithaca_college/ic_marc.mrc:190637034:775', 'ia:nightsinrodanth000spar', 'ia:isbn_B003K07AHI']",,212.0,,"{'type': '/type/datetime', 'value': '2009-05-29T11:39:06.232147'}",,2002,,,[{'key': '/works/OL54816W'}],{'key': '/type/edition'},8,['IA152801'],nyu,Nicholas Sparks.,,,,,,,,,,"['Divorced people -- Fiction', 'Hotelkeepers -- Fiction', 'Storms -- Fiction', 'Rodanthe (N.C.) -- Fiction', 'North Carolina -- Fiction']",['Fiction'],['2002066189'],,,,,,,,,['nightsinrodanth000spar'],,,,,,,,,,,
371,"['0385299095', '0385305095', '0385305109']",No greater love,,['Delacorte Press'],"{'librarything': ['116462'], 'goodreads': ['2046193', '2770646', '2318380']}",,,"[6630361, 4030393, 4030049, 238943]",,"{'type': '/type/datetime', 'value': '2020-11-11T08:05:50.634433'}",21,/books/OL1870319M,[{'key': '/authors/OL24452A'}],nogreaterlovesteel00stee,"['New York, N.Y']",,[{'key': '/languages/eng'}],392 p. ;,,"['marc:marc_records_scriblio_net/part21.dat:76112053:916', 'marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:10310354:1959', 'marc:marc_loc_updates/v35.i11.records.utf8:2386161:1032', 'ia:nogreaterlovesteel00stee', 'ia:nogreaterloveste00stee', 'ia:nogreaterlove1991stee', 'ia:nogreaterlov00stee', 'ia:nogreaterlo00stee', 'marc:marc_loc_2016/BooksAll.2016.part20.utf8:50378281:1032']",,392.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",,1991,,,[{'key': '/works/OL19743W'}],{'key': '/type/edition'},21,['IA119213'],nyu,Danielle Steel.,,,['813/.54'],['PS3569.T33828 N57 1991'],,,,,,"['Titanic (Steamship) -- Fiction', 'Shipwrecks -- Fiction']",,['90029106'],,,,,,"['Sample text', 'Publisher description']","['http://www.loc.gov/catdir/samples/random041/90029106.html', 'http://www.loc.gov/catdir/description/random042/90029106.html']","['http://www.loc.gov/catdir/samples/random041/90029106.html', 'http://www.loc.gov/catdir/description/random042/90029106.html']",['nogreaterlove1991stee'],,,,,,,,,,,
372,['0345404777'],No safe place,,,{},,,[9526295],,"{'type': '/type/datetime', 'value': '2021-05-14T04:09:48.676503'}",8,/books/OL24595066M,[{'key': '/authors/OL6887207A'}],nosafeplac00patt,['New York: Ballantine. 1998'],,[{'key': '/languages/eng'}],509 p.,{},"['ia:nosafeplac00patt', 'bwb:9780345404770', 'ia:nosafeplace0000patt_x4z7', 'marc:marc_loc_2016/BooksAll.2016.part28.utf8:36907039:1362', 'ia:nosafeplace0000patt_j8j3']",,509.0,['9780345404770'],"{'type': '/type/datetime', 'value': '2011-01-22T09:55:45.200989'}",,1998,,['319033861'],[{'key': '/works/OL15661717W'}],{'key': '/type/edition'},8,['IA119015'],nyu,,,,,"['PS3566.A8242 N6 1998b', 'CPB Box no. 1791 vol. 13']",,,,,,,,['99090456'],,,,,,,,,,,,,,,,,,,,
373,['0380727501'],Notes from a small island,,['Harper Perennial'],"{'goodreads': ['28'], 'librarything': ['2764']}",,,,,"{'type': '/type/datetime', 'value': '2010-08-19T11:15:51.608144'}",5,/books/OL23091946M,[{'key': '/authors/OL21718A'}],,['New York'],,[{'key': '/languages/eng'}],324 p. :,,['marc:SanFranPL15/SanFranPL15.out:17776758:1249'],"{'type': '/type/text', 'value': 'Originally published in Great Britain in 1995 by Doubleday.'}",324.0,['9780380727506'],"{'type': '/type/datetime', 'value': '2009-02-18T13:39:57.026558'}",,2001,,,[{'key': '/works/OL74129W'}],{'key': '/type/edition'},5,,nyu,Bill Bryson.,,,['914.104859'],['DA566.4 .B79 2001'],,,,,,"['Bryson, Bill -- Travel -- England', 'England -- Civilization -- 20th century', 'England -- Description and travel']",,,,,,,,,,,,,,,,['47925363'],,,,,,
374,['0688084915'],Nothing lasts forever,,['W. Morrow'],"{'librarything': ['1903971'], 'goodreads': ['1215530']}",,,[3872400],,"{'type': '/type/datetime', 'value': '2020-11-18T07:30:07.335077'}",16,/books/OL1081866M,[{'key': '/authors/OL225246A'}],nothinglastsforesidn00shel,['New York'],,[{'key': '/languages/eng'}],398 p. ;,,"['marc:marc_records_scriblio_net/part24.dat:44266457:791', 'marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:13593946:1927', 'ia:nothinglastsforesidn00shel', 'ia:nothinglastsfore1994shel', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:88957353:1444', 'amazon:0688084915', 'ia:nothinglastsfore0000shel', 'marc:marc_loc_2016/BooksAll.2016.part23.utf8:118809275:781']",,398.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",1st ed.,1994,,,[{'key': '/works/OL1881765W'}],{'key': '/type/edition'},16,['IA117908'],nyu,Sidney Sheldon.,,,['813/.54'],['PS3569.H3927 N67 1994'],['urn:sfpl:31223087883063'],,,,,"['Women physicians -- United States -- Fiction', 'Hospitals -- United States -- Fiction', 'San Francisco (Calif.) -- Fiction']",,['94005437'],,,,,"['San Francisco (Calif.)', 'United States']",,,,['nothinglastsfore1994shel'],,,,,,,,,,,
375,"['0671034057', '0671033328']",Now you see her,,['Pocket Books'],,,"{'type': '/type/text', 'value': 'A talentedlandscape painter and portrait artist in her early thirties, Paris Sweeney has achieved enviable success:her work sells at an exclusive New York City gallery owned by her friend Candra Worth, and her popularity is at an all-time high. Sweeney, as she is affectionately called by those close to her, loves her work and is content with her life.'}",[9798309],,"{'type': '/type/datetime', 'value': '2020-09-10T06:58:24.419711'}",5,/books/OL24595596M,[{'key': '/authors/OL30714A'}],nowyouseeher00howa,['New York'],,[{'key': '/languages/eng'}],362 p. ;,,"['ia:nowyouseeher00howa', 'ia:nowyouseeher0000howa_c3p5']",,362.0,"['9780671034054', '9780671033323']","{'type': '/type/datetime', 'value': '2011-01-25T01:45:40.775375'}",,1999,1998,['41276690'],[{'key': '/works/OL491815W'}],{'key': '/type/edition'},5,['IA119011'],nyu,Linda Howard,,,['813/.54'],['PS3558.O88217 N68 1999'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,['0671004530'],On the street where you live,,['Pocket Books'],,,,[6630508],,"{'type': '/type/datetime', 'value': '2011-11-21T19:45:30.155633'}",5,/books/OL24381419M,[{'key': '/authors/OL22586A'}],onstreetwhereyouclar00clar,['New York'],,[{'key': '/languages/eng'}],"VIII, 387 str. ;",,['ia:onstreetwhereyouclar00clar'],,387.0,['9780671004538'],"{'type': '/type/datetime', 'value': '2010-10-21T03:24:17.290663'}",1st Pocket Books printing.,2002,,['456050594'],[{'key': '/works/OL13050W'}],{'key': '/type/edition'},5,['IA119818'],nyu,Mary Higgins Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,['0553582755'],One door away from heaven,,['Bantam Books'],"{'goodreads': ['15746'], 'librarything': ['20082']}",,"The number-one bestseller from ""America's most popular suspense novelist"" (The New York Times) is now in paperback. Following a missing family to the edge of America, Michelina Bellsong finds herself in a place she never knew existed, a place of terror, wonder, and shattering revelation. What awaits her will change her life and the lives of everyone she knows, if she can find the key to survival.",[6310052],,"{'type': '/type/datetime', 'value': '2020-09-09T05:38:11.917910'}",18,/books/OL14443170M,,onedoorawayfromh2001koon,['New York'],,[{'key': '/languages/eng'}],681 p. ;,,"['marc:marc_oregon_summit_records/catalog_files/pcc_bibs.mrc_rev.mrc:136684502:1366', 'ia:onedoorawayfromh2001koon', 'ia:onedoorawayfrom00koon', 'ia:onedoorawayfromh00koon_409', 'ia:onedoorawayfromh00koo', 'ia:onedoorawayfromh0000koon']",,681.0,['9780553582758'],"{'type': '/type/datetime', 'value': '2008-09-12T16:48:40.497731'}",Bantam mass market ed.,2002,,['50862952'],[{'key': '/works/OL497172W'}],{'key': '/type/edition'},18,"['IA128511', 'IA116901']",nyu,Dean Koontz.,,,['813/.54'],['PS3561.O55 O64 2002'],,,,,,"['Children with disabilities -- Fiction', 'Unidentified flying object cults -- Fiction', 'Missing children -- Fiction', 'Problem families -- Fiction', 'Female friendship -- Fiction', 'Girls -- Fiction']",['Fiction.'],,,,,,,,,,,,,,,,,,,,,
378,['044022103X'],One true thing,One true thing,['Dell'],,,,[6972801],,"{'type': '/type/datetime', 'value': '2019-07-22T09:47:26.124058'}",4,/books/OL24951669M,[{'key': '/authors/OL227752A'}],onetruething1995quin,['New York'],,[{'key': '/languages/eng'}],387 p. ;,,['ia:onetruething1995quin'],,387.0,['9780440221036'],"{'type': '/type/datetime', 'value': '2011-08-11T03:07:54.240049'}",,1995,1994,['33058392'],[{'key': '/works/OL16051510W'}],{'key': '/type/edition'},4,['IA108717'],nyu,Anna Quindlen,,,,['PS3567.U336 O53 1995x'],,,,['United States'],,"['Mothers and daughters', 'Fiction', 'Euthanasia']",,,,,,,,,,,['onetruething1995quin'],,,,,,,,,,,
379,['0312990456'],One for the Money (Stephanie Plum Series #1),,"[""St. Martin's Press""]","{'goodreads': ['148157'], 'librarything': ['9759186']}",,,[185467],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2010-08-12T14:03:08.196080'}",6,/books/OL9873799M,[{'key': '/authors/OL21225A'}],,,,[{'key': '/languages/eng'}],,,['amazon:0312990456:2-ay:1789525793:281460'],,352.0,['9780312990459'],"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}",,"April 1, 2003",,,[{'key': '/works/OL48075W'}],{'key': '/type/edition'},6,,,,['Stephanie Plum (1)'],"{'type': '/type/text', 'value': ""THERE ARE SOME MEN WHO ENTER A WOMAN'S LIFE and screw it up forever.""}",,,,,,,,"['Mystery & Detective - General', 'Fiction', 'Fiction - Mystery/ Detective', 'Fiction / Mystery & Detective / Women Sleuths', 'General']",,,,,6.4 ounces,6.7 x 4.2 x 1 inches,,,,,,,,,,,,,,,,
380,['0061009059'],One for the Money (Stephanie Plum Novels),,['HarperTorch'],"{'goodreads': ['306445'], 'librarything': ['9759186']}",,,[43164],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2010-08-12T02:35:35.876295'}",6,/books/OL9241218M,[{'key': '/authors/OL21225A'}],,,,[{'key': '/languages/eng'}],,,"['amazon:0061009059:o-3:2885823580:251627', 'amazon:0061009059:4:2400351240:250651']",,304.0,['9780061009051'],"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}",,September 1995,,,[{'key': '/works/OL48035W'}],{'key': '/type/edition'},6,,,,['Stephanie Plum (1)'],,,,,,,,,"['Mystery & Detective - Series', 'Fiction', 'Fiction - Mystery/ Detective', 'Mystery/Suspense', 'Mystery & Detective - Women Sleuths', 'Mystery & Detective - General']",,,,,0.8 ounces,6.6 x 4 x 0.5 inches,,,,,,,,,,,,,,,,
381,['0385503857'],Oryx and Crake,,['Nan A. Talese'],"{'goodreads': ['78435'], 'librarything': ['1079']}",a novel,,[242312],,"{'type': '/type/datetime', 'value': '2020-12-05T17:42:06.614351'}",13,/books/OL3570150M,[{'key': '/authors/OL52922A'}],,['New York'],,[{'key': '/languages/eng'}],376 p. ;,,"['marc:marc_records_scriblio_net/part14.dat:38852533:1163', 'marc:marc_loc_updates/v36.i01.records.utf8:6273210:1155', 'marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:32110207:1915', 'marc:marc_ithaca_college/ic_marc.mrc:198270837:692', 'ia:oryxcrake00atwo', 'marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:21221085:1135', 'marc:marc_loc_2016/BooksAll.2016.part29.utf8:209546490:1155']",,376.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",1st ed. in the U.S.,2003,,,[{'key': '/works/OL675826W'}],{'key': '/type/edition'},13,['IA170101'],nyu,Margaret Atwood.,,,['813/.54'],['PR9199.3.A8 O79 2003'],['urn:phillips:31867001238943'],,,,,"['Triangles (Interpersonal relations) -- Fiction', 'Genetic engineering -- Fiction', 'Male friendship -- Fiction', 'New York (State) -- Fiction']",['Fiction.'],['2002073290'],,,,,['New York (State)'],"['Contributor biographical information', 'Sample text', 'Publisher description']","['http://www.loc.gov/catdir/bios/random054/2002073290.html', 'http://www.loc.gov/catdir/samples/random051/2002073290.html', 'http://www.loc.gov/catdir/description/random0413/2002073290.html']","['http://www.loc.gov/catdir/bios/random054/2002073290.html', 'http://www.loc.gov/catdir/samples/random051/2002073290.html', 'http://www.loc.gov/catdir/description/random0413/2002073290.html']",['oryxcrake00atwo'],,,,,,,,,,,
382,['0440212561'],Outlander.,,['Dell Publishing'],"{'goodreads': ['685403'], 'librarything': ['6463']}",,,"[9272729, 6449373, 6374468]",,"{'type': '/type/datetime', 'value': '2020-09-03T05:46:47.099619'}",10,/books/OL20130983M,[{'key': '/authors/OL531502A'}],outlander00gaba_0,['New York'],,[{'key': '/languages/eng'}],851p.,,"['ia:outlander00gaba_0', 'bwb:9780440212560']",,851.0,['9780440212560'],"{'type': '/type/datetime', 'value': '2008-10-26T01:36:30.332863'}",,1992,,,[{'key': '/works/OL3261155W'}],{'key': '/type/edition'},10,,xxu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,['0451178017'],Over the Edge (Alex Delaware),,['Signet'],"{'goodreads': ['2265770'], 'librarything': ['60626']}",,,[291771],,"{'type': '/type/datetime', 'value': '2014-04-05T20:58:12.861901'}",7,/books/OL7573423M,[{'key': '/authors/OL22570A'}],overedgealexdel000jona,,,[{'key': '/languages/eng'}],,,['amazon:0451178017:bm:2982799562:237688'],,433.0,['9780451178015'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"March 1, 1988",,,[{'key': '/works/OL12722W'}],{'key': '/type/edition'},7,,,,['Alex Delaware (3)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,['0449003795'],P is for peril,P is for peril,['Ballantine Books'],,,,[6924205],,"{'type': '/type/datetime', 'value': '2019-09-12T13:29:26.609191'}",6,/books/OL24939429M,[{'key': '/authors/OL20687A'}],pisforperil2002graf,['New York'],,[{'key': '/languages/eng'}],370 p. ;,,"['ia:pisforperil2002graf', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:221378472:2487', 'ia:pisforperi00graf']",,370.0,['9780449003794'],"{'type': '/type/datetime', 'value': '2011-08-08T08:00:05.269705'}",1st Ballantine Books domestic mass market ed.,2002,,['49876521'],[{'key': '/works/OL16037793W'}],{'key': '/type/edition'},6,['IA119213'],nyu,Sue Grafton,,,['813/.54'],['PS3557.R13 P3 2002'],"['urn:sfpl:31223056940639', 'urn:sfpl:31223049895288', 'urn:sfpl:31223058759730', 'urn:sfpl:31223058760233']",,,['California'],,"['Kinsey Millhone (Fictitious character)', 'Women private investigators', 'Fiction']",,,,,,,,,,,['pisforperil2002graf'],,,,,,,,,,,
385,['0679433740'],Paradise,,['Alfred A. Knopf'],{},,,[10653426],,"{'type': '/type/datetime', 'value': '2021-02-20T16:20:16.082961'}",3,/books/OL31976524M,,paradise00morrrich,,,[{'key': '/languages/eng'}],,{},,,,,"{'type': '/type/datetime', 'value': '2021-02-20T16:19:37.330228'}",,1998,,,[{'key': '/works/OL50561W'}],{'key': '/type/edition'},3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,['0425109720'],Patriot Games,,['Berkley Pub. Group'],,,,[6549950],,"{'type': '/type/datetime', 'value': '2019-11-28T14:57:39.460414'}",7,/books/OL24216349M,[{'key': '/authors/OL6951711A'}],patriotgames00clan,['New York'],,,503 p. ;,,"['ia:patriotgames00clan', 'ia:patriotgames00clan_2']",,503.0,['9780425109724'],"{'type': '/type/datetime', 'value': '2010-05-05T14:09:13.378279'}",Berkley ed.,1988,,['18213701'],[{'key': '/works/OL15148788W'}],{'key': '/type/edition'},7,['IA104108'],nyu,Tom Clancy.,,,,['PS3553.L245 P38 1988'],,,,,,"['Ryan, Jack (Fictitious character) -- Fiction.']",['Fiction.'],,,,,,,,,,,,,,,,,,,,,
